,CNY,DRR,INR,PSK,URR,CEW,CROC,CYB,DBV,EUFX,EUO,FPE,FXA,FXB,FXC,FXCH,FXE,FXF,FXS,FXSG,FXY,IPFF,PFF,PGF,PGX,SPFF,UDN,ULE,USDU,UUP,YCL,YCS
2016-01-25,40.4121,60.8575,36.36,44.106645,16.65,16.3266,63.8888,24.3166,22.502768,43.8035,25.5741,15.582342,67.4533,139.479996,69.02716099999999,74.230003,106.209999,95.040001,114.690002,67.988274,81.860001,12.182757,31.484590999999998,15.309292999999998,12.259069,10.109233999999999,21.038551000000002,15.4422,27.8305,25.481689000000003,56.4209,85.0715
2016-01-26,40.5,59.63,36.36,44.124696,16.7738,16.3076,62.6904,24.2608,22.690454000000003,43.7862,25.5558,15.540517000000001,68.093231,140.550003,69.970299,74.230003,106.269997,94.82,114.82,68.34612299999999,81.75,12.294922999999999,31.517696,15.309292999999998,12.250727000000001,10.156880000000001,21.048414,15.4526,27.736,25.432268,56.3107,85.2337
2016-01-27,40.8,59.5186,36.1,44.214197999999996,17.2399,16.3593,62.4739,24.2875,22.611429,43.6512,25.3916,15.573977,68.17076899999999,139.419998,69.801514,74.230003,106.589996,95.019997,115.400002,68.34612299999999,81.629997,12.294922999999999,31.600448999999998,15.359217999999998,12.242381,10.236293,21.068142,15.5511,27.7547,25.412498,56.12,85.5177
2016-01-28,41.235,58.83,36.1,44.396552,17.1442,16.4489,61.5097,24.289,22.729969,43.4562,25.1703,15.615798000000002,68.75255600000001,140.619995,70.079491,74.08000200000001,107.059998,95.160004,115.440002,68.34612299999999,81.480003,12.355316,31.650127,15.400818,12.300799000000001,10.228354,21.15691,15.6856,27.6528,25.293888,55.9153,85.8255
2016-01-29,41.04,60.0,36.1,44.556566,17.1442,16.5916,61.5421,24.3121,22.838631,43.8852,25.672,15.682714,68.68465400000001,139.470001,70.287979,74.239998,105.970001,94.16999799999999,114.41999799999999,68.34612299999999,80.010002,12.415714999999999,31.840487,15.533937,12.367558,10.291883,20.920189,15.372,27.8127,25.560764000000002,53.8502,88.9855
2016-02-01,40.707,59.49,36.38,44.623467,17.1442,16.5678,61.0508,24.2813,22.848507,43.6342,25.3823,15.66598,68.972794,141.350006,70.685074,74.239998,106.589996,94.620003,114.41999799999999,68.525017,80.019997,12.562330000000001,31.944415999999997,15.525628,12.367558,10.289885,21.058277,15.5435,27.7143,25.392733,53.8709,88.9368
2016-02-02,41.1574,59.49,36.12,44.609701,17.43,16.442999999999998,62.0126,24.2312,22.680576000000002,43.5632,25.2943,15.674347000000001,68.458344,141.169998,70.198616,74.089996,106.790001,94.629997,114.550003,68.525017,80.68,12.406172,31.861275,15.525628,12.375904,10.265919,21.078004999999997,15.5966,27.7379,25.372961,54.8065,87.3855
2016-02-03,40.68,57.25,36.12,44.590562,17.6,16.4596,59.7544,24.1759,22.799116,42.7842,24.378,15.632525,69.70075200000001,142.830002,71.509079,74.629997,108.68,96.050003,116.41999799999999,68.525017,82.309998,12.58836,31.811378,15.484020000000001,12.350871000000001,10.25793,21.45281,16.1607,27.2845,24.938053,56.9215,84.0105
2016-02-04,40.86,55.7554,36.12,44.592037,18.0445,16.7073,59.3514,24.3746,22.769479999999998,42.4081,23.9612,15.565617999999999,69.914299,142.649994,71.648071,75.970001,109.639999,97.120003,117.0,69.876823,82.949997,12.718499000000001,31.694967,15.467379000000001,12.309139,10.217983,21.610626,16.434,27.1262,24.770021,57.8419,82.6382
2016-02-05,41.29,56.5,36.22,44.409901,18.0,16.6705,61.4806,24.4414,22.532401999999998,42.6076,24.1834,15.523786999999999,68.65248100000001,141.809998,70.774437,75.279999,109.08000200000001,97.220001,117.0,69.876823,82.800003,12.692468,31.495420000000003,15.375860000000001,12.267416,10.209995,21.492266,16.2806,27.2916,24.878748,57.6628,82.8889
2016-02-08,42.06,56.16,36.22,43.859691,18.17,16.5666,61.18,24.4461,22.492889,42.4636,24.0177,15.364875,68.827202,141.240005,70.675156,76.050003,109.480003,97.739998,115.940002,69.876823,83.769997,12.536306,30.896776000000003,15.126252,12.075476,9.986303,21.561308,16.39,27.2423,24.819443,58.9422,81.0411
2016-02-09,41.27,55.118,36.0201,43.461711,18.24,16.5469,61.5589,24.4477,22.265688,42.0662,23.5803,15.214322,68.62338299999999,141.550003,70.96305100000001,76.050003,110.5,99.279999,115.940002,69.876823,84.160004,12.518955,30.622405999999998,14.943203,11.950301,9.890433,21.719122,16.6878,27.1139,24.641525,59.5827,80.1554
2016-02-10,41.153,55.17,36.09,43.708796,18.323,16.6214,60.8242,24.5394,22.413861999999998,42.0709,23.5808,15.214322,69.040688,142.259995,70.675156,75.41999799999999,110.459999,99.16999799999999,115.940002,70.48317,85.5,12.484253,30.81365,15.084648999999999,12.042097,9.946357,21.758575,16.6866,27.0319,24.592102,61.4306,77.666
2016-02-11,41.251,54.47,36.09,42.72609,18.5001,16.5902,60.9254,24.6288,22.334837,41.9509,23.4552,14.929945000000002,68.94367199999999,141.699997,70.695015,75.870003,110.779999,99.199997,117.370003,70.572601,86.209999,12.250009,30.148484999999997,14.643678,11.741667999999999,9.690709,21.807894,16.7747,27.026,24.522913,62.4234,76.4056
2016-02-12,41.1701,55.34,36.3,43.09758,18.4306,16.5609,60.9069,24.6332,22.344715,42.2196,23.7448,14.946670000000001,68.963081,142.0,71.00275400000001,75.970001,110.07,98.699997,116.089996,69.817192,85.480003,12.206634,30.406222999999997,14.784396,11.851954,9.826522,21.699396,16.5669,27.0777,24.631641000000002,61.3794,77.6813
2016-02-16,41.6,56.51,36.0,43.706641,18.4306,16.5598,60.85,24.6729,22.542279999999998,42.6342,24.2093,15.055407,68.98249100000001,139.860001,70.893562,76.0,108.970001,97.510002,116.089996,69.817192,84.980003,12.128548,30.938358,15.085432,12.061647,9.994291,21.521854,16.2403,27.2692,24.849094,60.68899999999999,78.5423
2016-02-17,42.29,56.52,36.08,44.081257,17.725,16.6629,59.5629,24.6406,22.779358,42.6791,24.2709,15.239417999999999,69.729851,139.860001,71.846626,76.0,108.870003,97.220001,116.089996,69.817192,85.08000200000001,12.30206,31.287567,15.244315,12.179077000000001,10.106136,21.531719,16.1983,27.144000000000002,24.839211,60.7777,78.4236
2016-02-18,42.29,57.365,36.08,44.257903000000006,17.6,16.701,60.0609,24.6734,22.690454000000003,42.8021,24.4176,15.306322,69.390152,140.259995,71.58850100000001,76.0,108.529999,97.019997,116.089996,69.817192,85.540001,12.310737,31.437215999999996,15.294489000000002,12.221014,10.146083,21.511992000000003,16.0994,27.1517,24.849094,61.4317,77.575
2016-02-19,41.23,56.75,35.89,44.415082,17.6,16.6142,60.0259,24.6584,22.611429,42.6819,24.2734,15.331420000000001,69.428955,140.5,71.48921999999999,76.0,108.879997,97.379997,116.089996,69.548828,85.91999799999999,12.362794000000001,31.487121999999996,15.344660000000001,12.246179,10.130106,21.571173,16.194000000000006,27.0768,24.779905,62.0568,76.7841
2016-02-22,41.56,57.53,35.99,44.351001000000004,17.6,16.7566,58.5412,24.6791,22.967049,43.0846,24.718000000000004,15.356511,70.30252800000001,138.479996,71.806915,76.0,107.800003,96.480003,116.089996,69.568718,85.839996,12.37147,31.420609000000002,15.336298999999999,12.237792,10.122116,21.403496,15.8962,27.1528,24.967707,61.869,77.0011
2016-02-23,41.6,57.65,36.06,44.358584,17.28,16.712,58.8482,24.6461,22.888021,43.1111,24.7675,15.335945,70.059875,137.139999,71.499138,76.0,107.75,97.230003,115.629997,69.568718,86.410004,12.145902,31.462175,15.327932999999998,12.212629,10.154069999999999,21.383768,15.8633,27.1757,24.977591,62.70399999999999,75.9601
2016-02-24,41.5,57.79,36.0001,44.388841,17.17,16.6457,59.0914,24.6526,22.808994000000002,43.1511,24.8088,15.344334,69.923988,136.369995,71.916115,76.0,107.660004,97.440002,115.57,69.568718,86.449997,12.154578,31.537003000000002,15.353024,12.229402,10.209995,21.383768,15.8362,27.1757,24.99736,62.88,75.7422
2016-02-25,41.71,57.502,35.83,44.57675,17.17,16.7087,58.5807,24.6653,22.937412,43.0877,24.7265,15.361122,70.22489200000001,136.690002,72.680534,75.800003,107.83000200000001,97.360001,115.459999,69.568718,85.75,12.605709,31.761491999999997,15.428285999999998,12.304893,10.249938,21.383768,15.8883,27.154,24.977591,61.7473,77.10600000000002
2016-02-26,41.4,58.67,35.91,44.666605,17.05,16.6732,60.2156,24.6616,22.808994000000002,43.4188,25.1306,15.445064000000002,69.23484,135.699997,72.839394,75.800003,106.959999,96.779999,115.459999,69.568718,84.989998,12.154578,31.769806,15.445004999999998,12.313283,10.273909,21.245682000000002,15.6279,27.346999999999998,25.145623999999998,60.6411,78.4811
2016-02-29,41.4678,59.2425,36.32,44.583307,17.0652,16.6955,60.1101,24.6325,22.789238,43.6601,25.4056,15.445064000000002,69.331917,136.25,72.740135,75.800003,106.370003,96.440002,114.300003,69.568718,85.879997,12.37147,31.861275,15.453367000000002,12.338446000000001,10.305861,21.225954,15.4546,27.3129,25.195044,61.9058,76.8352
2016-03-01,41.72,59.86,36.32,44.915305,16.8404,16.7966,59.3646,24.6707,23.016438,43.7032,25.4437,15.529005999999999,69.76306899999999,136.550003,73.375473,75.800003,106.260002,96.68,113.660004,69.568718,85.019997,12.394164,31.959057,15.536994,12.388775,10.327969,21.206228,15.4308,27.2772,25.204929,60.7016,78.325
2016-03-02,41.72,59.64,36.9,44.695713,16.8,16.9104,57.5105,24.6358,23.115223,43.7122,25.4538,15.495434,70.870575,137.779999,73.286148,75.800003,106.230003,96.739998,113.660004,69.568718,85.41999799999999,12.594913,31.908903000000002,15.470095,12.338446000000001,10.384227000000001,21.216091,15.4236,27.191,25.18516,61.1957,77.6836
2016-03-03,41.119,58.936,36.86,44.698837,17.1795,16.9994,56.3877,24.6796,23.194248,43.3293,25.0058,15.520613,71.531204,138.83999599999999,73.464828,75.800003,107.190002,97.230003,115.0,69.568718,85.18,12.664738999999999,31.942339,15.453367000000002,12.304893,10.408339999999999,21.354177,15.6942,27.0623,25.027012,60.9541,77.9914
2016-03-04,41.94,58.23,36.8,44.704699,17.1795,17.1354,55.2975,24.7991,23.362179,43.1729,24.8325,15.554194,72.201553,139.199997,73.901657,75.58000200000001,107.58000200000001,97.019997,115.0,70.76146700000001,84.940002,12.699652,31.950696999999998,15.486818,12.338446000000001,10.416376,21.413357,15.8021,26.964000000000002,24.957823,60.5607,78.4921
2016-03-07,41.85,57.77,37.2,44.702977000000004,17.18,17.1766,54.7278,24.8117,23.441204,43.1289,24.7746,15.545798000000001,72.570686,139.600006,74.12999,75.58000200000001,107.68,96.769997,115.0,70.76146700000001,85.41999799999999,13.092424000000001,32.000847,15.453367000000002,12.330057,10.496749000000001,21.45281,15.837,26.9004,24.908401,61.2057,77.6459
2016-03-08,41.9,58.0315,36.99,44.729079,17.38,17.0841,55.2249,24.8219,23.253519,43.1556,24.8035,15.537405999999999,72.23066700000001,139.080002,73.33577700000001,75.58000200000001,107.589996,96.75,115.0,70.76146700000001,86.010002,13.066239999999999,31.967421999999996,15.453367000000002,12.338446000000001,10.416376,21.433084,15.818,26.9524,24.918285,62.0294,76.5981
